Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,글로벌서치,임상데이터분석,"서울서초구, 경력 3~12년, 석사↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54474818&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,커리어커넥트(주),대형저축은행 플랫폼사업팀원 (제휴서비스/데이터분석경력자),"서울강남구, 경력 5~9년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54554469&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,SMI,[서울 강남] 스타트업 프로덕트데이터분석,"서울강남구, 경력 6~15년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54499434&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,부산대학교 한의과학연구소,부산대학교 한의과학연구소 임상연구 및 보건의료 데이터 분석 채용 공고,"경남양산시, 경력무관, 석사↑, 계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54554807&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,디아이랩(주),기후환경 데이터 분석/AI 엔지니어,"경기고양시, 신입·경력, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54476836&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)신세계인터내셔날,(주)신세계인터내셔날 고객데이터 분석 담당자 정규직 채용,"서울강남구, 경력 7~12년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54558942&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,에이스휴먼파워(주),[여의도/일7H/최대288만] 한국평가데이터 데이터 분석 담당 채용,"서울영등포구, 경력, 초대졸↑, 계약직, 268 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54488207&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)씨아이템프러리,[현대카드/본사] 카드Collection기획팀 채용 - 데이터추출/분석,"서울영등포구, 경력무관, 학력무관, 계약직, 3,468 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54288688&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,메이저월드(주),[메이저월드(주)] 매입 데이터 분석 및 업무자동화 담당자,"경기화성시, 경력무관, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54554825&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,쿠팡풀필먼트서비스(유),[쿠팡CFS] Business Analyst(데이터 분석가) 경력직 채용,"서울송파구, 경력, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54377000&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
Saramin,(주)에스디테크,"AI 데이터 분석 및 IT인력, 전략기획(부) 사무직 모집","전남광주순천시, 경력무관, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54532219&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=139a7593-e979-4209-8f53-b66fd62a2dfc
